Metric,Value
drag_force,14.799643076923076
lift_force,-3.147384723846154
fx,14.799643076923076
fy,-0.005156414438461539
fz,-3.147384723846154
mx,1.5394681238461538
my,0.6305762923076923
mz,7.40229
cl_calc,-0.051385873042386176
cd_calc,0.24162682574568284
